order_id,is_late
u6rPMRAYIGig,0
ohY8f4FEbX19,0
I28liQek73i2,0
bBG1T89mlY8W,0
CYxJJSQS8Lbo,0
kUkQCFPtDvrC,0
eV98svHRmPNG,0
b2tsoISX5lnP,0
O0D3th8M88nF,0
yBTGlSf8GGMV,0
OoHJ0WBqlxln,0
qvrK7ROfp1w6,0
uNUwbkr3jhfD,0
j4hiZpWSGa1T,0
6J3ZtW3UMsR9,0
CKtqZeTFa6Ov,0
e7xeH7PfGWFM,0
y7ICBanZzdHp,1
bZFqy2PEMhhc,0
ub5scd3uMflH,0
yAmRuBPWp1vO,0
srKcniC9yOFm,0
2Jbr1MhEmkIs,0
Tb14VgvCwPuw,0
KKm2sesYGRq8,0
dwJNR7yxYRLb,1
86uPyTFO0VnJ,0
KOTqFLF3sprZ,0
RQi6usDkH0z5,0
lRPOThT61ZfO,0
25pQorIsT9XG,0
CA0KeXrOx4Va,0
KnUNh8bnaKd9,0
xYh4tcmBf0pq,0
D5YWaLz32bm9,0
XhmzJrChXt1C,0
xyukk6AHT526,0
8LH9cFjaFFLw,0
WCVW0rJ4udYk,0
pvYF1MU8i064,0
bhMwu9M1F3pM,0
iUEMkbaTWXER,0
sZG0zVMaFAXJ,0
u49f51uCjN3j,0
Whn3HZ9xudbF,0
UuMDtqNcmyUC,0
v5gjarBxJsbo,0
3TVHEQZQTpNK,1
hJq9LTbltF0f,0
cqbIl6jpDT2u,0
LB5ptHNQKAFz,0
903k3PvOOCNz,0
cv7Hxy6CHEtO,0
CscZnJreINZO,0
mG9DF0eoAvGx,0
hCbJt8U6Ww3N,0
0llz1DKEU0D0,0
liA5pvBYs64o,0
KNa3m4B9oN3I,0
KZs2qgGZoOSX,0
RtGO0hlWZEvO,0
v4xqa1KwmNvE,0
LgBjaoAZT313,0
g2feI21w6ZER,0
UXFVXUDBBnN2,0
NiYQcWqn2dx1,0
uJxv0BlTzZKk,0
Gnt5P2sMZoDE,0
EP3hioG5H9fK,0
Qu1j9oOfSK6t,0
eNNSfcB8zJAv,0
KBjiJXcRN9WP,0
7QE67FF0Om5N,0
bVYJzm2XCyxo,0
blIKUJKqhcAw,0
glRonpQa8jMJ,0
MHEaSt8SPeoG,0
cB2f9bMTD38b,0
GayOlUb6Vmw5,0
DFJtb4hzzmHX,0
6whGhQyugS0N,0
9NeeIZEF4rYg,0
zyqeRBdn2QIz,0
ZPtEC8wwF6WC,0
n5anh2ES0Qrx,0
ZAZc30nO7mBG,0
2h0BGlUwGRS1,0
0bLeA89iFL8i,0
1jjbu6TXyRch,0
amNpLmLRtqds,0
J3NBaP7MoqMg,0
UGOUFp6lOvfy,0
W1NJYnYkaukv,0
mekmxzX7xg66,0
zgIMZEReS5B1,0
sqqcJi5UVxtn,0
726qzHfAqEZO,0
SPsLXC6EZB6w,0
QLqDouIaUQyr,0
pKPwllWcu4W3,0
8WTKsujGSPr0,0
NTvOc3tRPuW5,0
Io6QaiAgVYoZ,0
Xknxc0MlpwU6,0
TmyZSJp1HpV7,0
GNz6cxwDUyoM,0
t0EtYo45Wcw7,0
uCkWTkJzyQRA,0
kHpIb3Vhkr2B,0
JHwaDSRd7Yqk,0
PqlLQqphGWMG,0
J8Bc43diiiwa,0
T4K1lnPN7lH9,0
qFGvBA8siR9C,0
DTG8rFMgpHXy,0
EzLqwURTMESq,0
VfPfevghWKRz,0
RrMH1HzjPDUy,0
dgXkaqn9QIyl,0
GkihidwfzkNV,0
vl4sZM3Me2dI,0
uKdtgTIV8ML0,0
Tao6yqzZqR8i,0
CRAW5FHTgef2,0
hToNiABH0dXp,0
mUZI3vHznWIA,0
xgFgAUrPUHEk,0
JgAkkK19yYhw,0
3CD8klhI6sv6,0
yA6ye44VAqXT,0
pshOBIa9uNaK,0
SpFKAoPp0ilG,0
hwV9K6iZVgnh,0
DBPnEuQDFDVb,0
CM47ksrL2R8A,0
6otDC7qi8cZh,0
wq3LDwK546wG,0
w4jk8j2fTnhw,0
tZoVpxv5FVIH,0
tFQGjmZndsM5,0
nblJwrll1AS0,0
3vx9j3SvRUKg,0
OPuvw5JcjfOh,0
kVpTE6tUo9w7,0
NecsYKNR6nba,0
fnSFBmKlfG9i,0
u2oKzCyv9sav,0
OtV6waAZRqcN,0
vhdr4kEZVJXi,0
kyeIOoUKvoIM,0
VZvjDMifWUUk,0
GewZicdnVU4o,0
paJO30kb5azy,0
Co6YY9CSER9B,0
1ADWBenqZlyI,0
YKY495iYCoqG,0
MV5sovfkXA3U,0
jQBSgqRWOpvl,0
CtWqYNGFXvab,0
obrJjCEHkABU,0
BmKm8T53Heik,0
WMaeamcmMFS7,0
80zasKxvt11B,0
HW9Ogje6AlUA,0
O3kEwpEBakLG,0
TKwhZWStGsmY,0
I54x5B7ZScB4,0
KOrn1FCfjiwG,0
